Aktuellezeit,Ort,Beschreibung,Aktuelletemperatur
2021-03-03 10:22:06.079462,Mumbai,Rauch,35.52°C
2021-03-03 10:23:06.184956,Salzburg,Klarer Himmel,9.10°C
2021-03-03 10:24:06.305144,Mumbai,Rauch,35.52°C
2021-03-03 10:25:06.406420,Salzburg,Klarer Himmel,9.10°C
2021-03-03 10:26:06.498241,Mumbai,Rauch,35.52°C
2021-03-03 10:27:06.638440,Salzburg,Klarer Himmel,9.23°C
2021-03-03 10:28:06.758012,Mumbai,Rauch,35.52°C
2021-03-03 10:29:06.849494,Salzburg,Klarer Himmel,9.23°C
2021-03-03 10:30:08.133774,Mumbai,Rauch,35.52°C
2021-03-03 10:31:08.242223,Salzburg,Klarer Himmel,8.73°C
2021-03-03 10:32:08.356319,Mumbai,Rauch,35.52°C
2021-03-03 10:33:08.454842,Salzburg,Klarer Himmel,8.73°C
2021-03-03 10:34:08.552999,Mumbai,Rauch,35.52°C
2021-03-03 10:35:08.634208,Salzburg,Klarer Himmel,8.73°C
2021-03-03 10:36:08.736147,Mumbai,Rauch,35.52°C
2021-03-03 10:37:08.829155,Salzburg,Klarer Himmel,8.73°C
2021-03-03 10:38:08.925741,Mumbai,Rauch,35.52°C
2021-03-03 10:39:09.029930,Salzburg,Klarer Himmel,8.73°C
2021-03-03 10:40:09.119710,Mumbai,Rauch,35.56°C
2021-03-03 10:41:09.251896,Salzburg,Klarer Himmel,9.86°C
2021-03-03 10:42:09.351203,Mumbai,Rauch,35.56°C
2021-03-03 10:43:09.448971,Salzburg,Klarer Himmel,9.86°C
2021-03-03 10:44:09.546767,Mumbai,Rauch,35.56°C
2021-03-03 10:45:09.652092,Salzburg,Klarer Himmel,9.86°C
2021-03-03 10:46:09.748312,Mumbai,Rauch,35.56°C
2021-03-03 10:47:09.841462,Salzburg,Klarer Himmel,9.86°C
2021-03-03 10:48:09.937157,Mumbai,Rauch,35.56°C
2021-03-03 10:49:10.042325,Salzburg,Klarer Himmel,9.86°C
2021-03-03 10:50:10.135109,Mumbai,Rauch,37.00°C
2021-03-03 10:51:10.233439,Salzburg,Klarer Himmel,9.74°C
2021-03-03 10:52:10.322472,Mumbai,Rauch,37.00°C
2021-03-03 10:53:10.419197,Salzburg,Klarer Himmel,9.74°C
2021-03-03 10:54:10.520450,Mumbai,Rauch,37.00°C
2021-03-03 10:55:10.615319,Salzburg,Klarer Himmel,9.74°C
2021-03-03 10:56:10.717727,Mumbai,Rauch,37.00°C
2021-03-03 10:57:10.805083,Salzburg,Klarer Himmel,9.74°C
2021-03-03 10:58:10.914185,Mumbai,Rauch,37.00°C
2021-03-03 10:59:35.404487,Salzburg,Klarer Himmel,9.74°C
2021-03-03 11:00:35.533301,Mumbai,Rauch,37.00°C
2021-03-03 11:01:35.637723,Salzburg,Klarer Himmel,9.99°C
2021-03-03 11:02:35.732462,Mumbai,Rauch,37.00°C
2021-03-03 11:03:35.835059,Salzburg,Klarer Himmel,9.99°C
2021-03-03 11:04:35.938492,Mumbai,Rauch,37.00°C
2021-03-03 11:05:36.071467,Salzburg,Klarer Himmel,9.99°C
2021-03-03 11:06:36.173738,Mumbai,Rauch,37.00°C
2021-03-03 11:07:36.259958,Salzburg,Klarer Himmel,9.99°C
2021-03-03 11:08:36.348062,Mumbai,Rauch,37.00°C
2021-03-03 11:09:36.441293,Salzburg,Klarer Himmel,9.99°C
2021-03-03 11:10:36.559594,Mumbai,Rauch,37.00°C
2021-03-03 11:11:36.643953,Salzburg,Klarer Himmel,10.69°C
2021-03-03 11:12:36.757231,Mumbai,Rauch,37.00°C
2021-03-03 11:13:36.849084,Salzburg,Klarer Himmel,10.69°C
2021-03-03 11:14:36.941003,Mumbai,Rauch,37.00°C
2021-03-03 11:15:37.070112,Salzburg,Klarer Himmel,10.69°C
2021-03-03 11:16:37.159523,Mumbai,Rauch,37.00°C
2021-03-03 11:17:37.249833,Salzburg,Klarer Himmel,10.69°C
2021-03-03 11:18:37.344503,Mumbai,Rauch,37.00°C
2021-03-03 11:19:37.445967,Salzburg,Klarer Himmel,10.69°C
2021-03-03 11:20:37.539435,Mumbai,Rauch,34.53°C
2021-03-03 11:21:37.634882,Salzburg,Klarer Himmel,11.20°C
2021-03-03 11:22:37.713988,Mumbai,Rauch,34.53°C
2021-03-03 11:23:37.799366,Salzburg,Klarer Himmel,11.20°C
2021-03-03 11:24:37.880216,Mumbai,Rauch,34.53°C
2021-03-03 11:25:37.962205,Salzburg,Klarer Himmel,11.20°C
2021-03-03 11:26:38.047897,Mumbai,Rauch,34.53°C
2021-03-03 11:27:38.133996,Salzburg,Klarer Himmel,11.20°C
2021-03-03 11:28:38.230488,Mumbai,Rauch,34.53°C
2021-03-03 11:29:38.314635,Salzburg,Klarer Himmel,11.20°C
2021-03-03 11:30:38.462035,Mumbai,Rauch,34.53°C
2021-03-03 11:31:38.585886,Salzburg,Klarer Himmel,11.46°C
2021-03-03 11:32:38.674320,Mumbai,Rauch,34.53°C
2021-03-03 11:33:38.746406,Salzburg,Klarer Himmel,11.46°C
2021-03-03 11:34:38.835979,Mumbai,Rauch,34.53°C
2021-03-03 11:35:38.910201,Salzburg,Klarer Himmel,11.46°C
2021-03-03 11:36:38.989263,Mumbai,Rauch,34.53°C
2021-03-03 11:37:39.074279,Salzburg,Klarer Himmel,11.46°C
2021-03-03 11:38:39.154400,Mumbai,Rauch,34.53°C
2021-03-03 11:39:39.223522,Salzburg,Klarer Himmel,11.46°C
2021-03-03 11:40:39.311248,Mumbai,Rauch,34.53°C
2021-03-03 11:41:39.397471,Salzburg,Klarer Himmel,11.46°C
2021-03-03 11:42:39.513635,Mumbai,Rauch,34.53°C
2021-03-03 11:43:39.607592,Salzburg,Klarer Himmel,12.42°C
2021-03-03 11:44:39.686341,Mumbai,Rauch,34.53°C
2021-03-03 11:45:39.763368,Salzburg,Klarer Himmel,12.42°C
2021-03-03 11:46:39.847595,Mumbai,Rauch,34.53°C
2021-03-03 11:47:39.925670,Salzburg,Klarer Himmel,12.42°C
2021-03-03 11:48:40.023264,Mumbai,Rauch,34.53°C
2021-03-03 11:49:40.145581,Salzburg,Klarer Himmel,12.42°C
2021-03-03 11:50:40.232891,Mumbai,Rauch,34.53°C
2021-03-03 11:51:40.320115,Salzburg,Klarer Himmel,12.42°C
2021-03-03 11:52:40.406178,Mumbai,Rauch,34.53°C
2021-03-03 11:53:40.482659,Salzburg,Klarer Himmel,12.39°C
2021-03-03 11:54:40.566417,Mumbai,Rauch,33.03°C
2021-03-03 11:55:40.639721,Salzburg,Klarer Himmel,12.39°C
2021-03-03 11:56:40.721665,Mumbai,Rauch,33.03°C
2021-03-03 11:57:40.796027,Salzburg,Klarer Himmel,12.39°C
2021-03-03 11:58:40.885944,Mumbai,Rauch,33.03°C
2021-03-03 11:59:40.965069,Salzburg,Klarer Himmel,12.39°C
2021-03-03 12:00:41.054641,Mumbai,Rauch,33.03°C
2021-03-03 12:01:41.143557,Salzburg,Klarer Himmel,12.39°C
2021-03-03 12:02:41.231877,Mumbai,Rauch,33.03°C
2021-03-03 12:03:41.301544,Salzburg,Klarer Himmel,12.39°C
2021-03-03 12:04:41.387295,Mumbai,Rauch,33.03°C
2021-03-03 12:05:41.577339,Salzburg,Klarer Himmel,12.77°C
2021-03-03 12:06:41.656017,Mumbai,Rauch,32.56°C
2021-03-03 12:07:41.739497,Salzburg,Klarer Himmel,12.77°C
2021-03-03 12:08:41.862932,Mumbai,Rauch,32.56°C
2021-03-03 12:09:41.946982,Salzburg,Klarer Himmel,12.77°C
2021-03-03 12:10:42.021652,Mumbai,Rauch,32.56°C
2021-03-03 12:11:42.104754,Salzburg,Klarer Himmel,12.77°C
2021-03-03 12:12:42.189638,Mumbai,Rauch,32.56°C
2021-03-03 12:13:42.276656,Salzburg,Klarer Himmel,12.77°C
2021-03-03 12:14:42.367942,Mumbai,Rauch,32.56°C
2021-03-03 12:15:42.565532,Salzburg,Klarer Himmel,12.89°C
2021-03-03 12:16:42.640393,Mumbai,Rauch,32.54°C
2021-03-03 12:17:42.728783,Salzburg,Klarer Himmel,12.89°C
2021-03-03 12:18:42.821535,Mumbai,Rauch,32.54°C
2021-03-03 12:19:42.904898,Salzburg,Klarer Himmel,12.89°C
2021-03-03 12:20:42.990517,Mumbai,Rauch,32.54°C
2021-03-03 12:21:43.073351,Salzburg,Klarer Himmel,12.89°C
2021-03-03 12:22:43.183177,Mumbai,Rauch,32.54°C
2021-03-03 12:23:43.266995,Salzburg,Klarer Himmel,12.89°C
2021-03-03 12:24:43.351926,Mumbai,Rauch,32.54°C
2021-03-03 12:25:43.436364,Salzburg,Klarer Himmel,12.89°C
2021-03-03 12:26:43.523985,Mumbai,Rauch,32.53°C
2021-03-03 12:27:43.628413,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:28:43.706833,Mumbai,Rauch,32.53°C
2021-03-03 12:29:43.795427,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:30:43.901411,Mumbai,Rauch,32.53°C
2021-03-03 12:31:43.987733,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:32:44.079793,Mumbai,Rauch,32.53°C
2021-03-03 12:33:44.173525,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:34:44.286662,Mumbai,Rauch,32.53°C
2021-03-03 12:35:44.368723,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:36:44.446350,Mumbai,Rauch,32.53°C
2021-03-03 12:37:44.531073,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:38:44.619908,Mumbai,Rauch,32.53°C
2021-03-03 12:39:44.702047,Salzburg,Klarer Himmel,12.28°C
2021-03-03 12:40:44.807472,Mumbai,Rauch,32.04°C
2021-03-03 12:41:44.894990,Salzburg,Klarer Himmel,12.96°C
2021-03-03 12:42:44.968646,Mumbai,Rauch,32.04°C
2021-03-03 12:43:45.053031,Salzburg,Klarer Himmel,12.96°C
2021-03-03 12:44:45.142597,Mumbai,Rauch,32.04°C
2021-03-03 12:45:45.316671,Salzburg,Klarer Himmel,12.96°C
2021-03-03 12:46:45.401302,Mumbai,Rauch,32.04°C
2021-03-03 12:47:45.593061,Salzburg,Klarer Himmel,12.96°C
2021-03-03 12:48:45.677494,Mumbai,Rauch,32.04°C
2021-03-03 12:49:45.758004,Salzburg,Klarer Himmel,12.96°C
2021-03-03 12:50:45.845574,Mumbai,Rauch,31.52°C
2021-03-03 12:51:45.975041,Salzburg,Klarer Himmel,12.84°C
2021-03-03 12:52:46.053468,Mumbai,Rauch,31.52°C
2021-03-03 12:53:46.131569,Salzburg,Klarer Himmel,12.84°C
2021-03-03 12:54:46.209652,Mumbai,Rauch,31.52°C
2021-03-03 12:55:46.344523,Salzburg,Klarer Himmel,12.84°C
2021-03-03 12:56:46.432097,Mumbai,Rauch,31.52°C
2021-03-03 12:57:46.508956,Salzburg,Klarer Himmel,12.84°C
2021-03-03 12:58:46.588570,Mumbai,Rauch,31.52°C
2021-03-03 12:59:46.667552,Salzburg,Klarer Himmel,12.84°C
2021-03-03 13:00:46.755723,Mumbai,Rauch,31.52°C
2021-03-03 13:01:46.828682,Salzburg,Klarer Himmel,12.96°C
2021-03-03 13:02:46.905001,Mumbai,Rauch,31.52°C
2021-03-03 13:03:47.174969,Salzburg,Klarer Himmel,12.96°C
2021-03-03 13:04:47.284989,Mumbai,Rauch,31.52°C
2021-03-03 13:05:47.363535,Salzburg,Klarer Himmel,12.96°C
2021-03-03 13:06:48.961650,Mumbai,Rauch,31.52°C
2021-03-03 13:07:49.044311,Salzburg,Klarer Himmel,12.96°C
2021-03-03 13:08:49.135540,Mumbai,Rauch,31.52°C
2021-03-03 13:09:49.221930,Salzburg,Klarer Himmel,12.96°C
2021-03-03 13:10:49.323924,Mumbai,Rauch,30.52°C
2021-03-03 13:11:49.416339,Salzburg,Klarer Himmel,12.98°C
2021-03-03 13:12:49.511050,Mumbai,Rauch,30.52°C
2021-03-03 13:13:49.641484,Salzburg,Klarer Himmel,12.98°C
2021-03-03 13:14:49.734249,Mumbai,Rauch,30.52°C
2021-03-03 13:15:49.843541,Salzburg,Klarer Himmel,12.98°C
2021-03-03 13:16:49.932153,Mumbai,Rauch,30.52°C
2021-03-03 13:17:50.023013,Salzburg,Klarer Himmel,12.98°C
2021-03-03 13:18:50.122130,Mumbai,Rauch,30.52°C
2021-03-03 13:19:50.218733,Salzburg,Klarer Himmel,12.98°C
2021-03-03 13:20:50.302542,Mumbai,Rauch,30.52°C
2021-03-03 13:21:50.387017,Salzburg,Klarer Himmel,12.83°C
2021-03-03 13:22:50.471729,Mumbai,Rauch,30.52°C
2021-03-03 13:23:50.570138,Salzburg,Klarer Himmel,12.83°C
2021-03-03 13:24:50.654323,Mumbai,Rauch,30.52°C
2021-03-03 13:25:50.744243,Salzburg,Klarer Himmel,12.83°C
2021-03-03 13:26:50.860800,Mumbai,Rauch,30.52°C
2021-03-03 13:27:50.955731,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:28:51.044981,Mumbai,Rauch,30.52°C
2021-03-03 13:29:51.135971,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:30:51.259290,Mumbai,Rauch,30.52°C
2021-03-03 13:31:51.347659,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:32:51.428809,Mumbai,Rauch,30.52°C
2021-03-03 13:33:51.504519,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:34:51.594191,Mumbai,Rauch,30.52°C
2021-03-03 13:35:51.672344,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:36:51.744094,Mumbai,Rauch,30.52°C
2021-03-03 13:37:51.831021,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:38:51.953520,Mumbai,Rauch,30.52°C
2021-03-03 13:39:52.039107,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:40:52.130575,Mumbai,Rauch,30.52°C
2021-03-03 13:41:52.249055,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:42:52.337365,Mumbai,Rauch,30.52°C
2021-03-03 13:43:52.419475,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:44:52.507687,Mumbai,Rauch,30.52°C
2021-03-03 13:45:52.599468,Salzburg,Klarer Himmel,12.82°C
2021-03-03 13:46:52.676866,Mumbai,Rauch,30.52°C
2021-03-03 13:47:52.765435,Salzburg,Klarer Himmel,12.94°C
2021-03-03 13:48:52.852610,Mumbai,Rauch,30.03°C
2021-03-03 13:49:52.971025,Salzburg,Klarer Himmel,12.94°C
2021-03-03 13:50:53.060119,Mumbai,Rauch,30.03°C
2021-03-03 13:51:53.144445,Salzburg,Klarer Himmel,12.94°C
2021-03-03 13:52:53.224972,Mumbai,Rauch,30.03°C
2021-03-03 13:53:53.308230,Salzburg,Klarer Himmel,12.94°C
2021-03-03 13:54:53.386082,Mumbai,Rauch,30.03°C
2021-03-03 13:55:53.457421,Salzburg,Klarer Himmel,12.94°C
2021-03-03 13:56:53.534316,Mumbai,Rauch,30.03°C
2021-03-03 13:57:53.610087,Salzburg,Klarer Himmel,12.97°C
2021-03-03 13:58:53.700393,Mumbai,Rauch,30.02°C
2021-03-03 13:59:53.785349,Salzburg,Klarer Himmel,12.97°C
2021-03-03 14:00:53.866426,Mumbai,Rauch,30.02°C
2021-03-03 14:01:53.986343,Salzburg,Klarer Himmel,12.97°C
2021-03-03 14:02:54.070315,Mumbai,Rauch,30.02°C
2021-03-03 14:03:54.151548,Salzburg,Klarer Himmel,12.97°C
2021-03-03 14:04:54.227497,Mumbai,Rauch,30.02°C
2021-03-03 14:05:54.308294,Salzburg,Klarer Himmel,12.97°C
2021-03-03 14:06:54.387099,Mumbai,Rauch,30.02°C
2021-03-03 14:07:54.467696,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:08:54.546193,Mumbai,Rauch,30.02°C
2021-03-03 14:09:54.618185,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:10:54.691661,Mumbai,Rauch,30.02°C
2021-03-03 14:11:54.780070,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:12:54.865954,Mumbai,Rauch,30.02°C
2021-03-03 14:13:54.935191,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:14:55.035509,Mumbai,Rauch,30.02°C
2021-03-03 14:15:55.109144,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:16:55.196079,Mumbai,Rauch,30.02°C
2021-03-03 14:17:55.526750,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:18:55.612482,Mumbai,Rauch,29.00°C
2021-03-03 14:19:55.694644,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:20:55.777955,Mumbai,Rauch,29.00°C
2021-03-03 14:21:55.861856,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:22:55.935769,Mumbai,Rauch,29.00°C
2021-03-03 14:23:56.051700,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:24:56.130159,Mumbai,Rauch,29.00°C
2021-03-03 14:25:56.207931,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:26:56.285777,Mumbai,Rauch,29.00°C
2021-03-03 14:27:56.388968,Salzburg,Klarer Himmel,12.53°C
2021-03-03 14:28:56.475446,Mumbai,Rauch,29.00°C
2021-03-03 14:29:56.553563,Salzburg,Klarer Himmel,12.53°C
2021-03-03 14:30:56.636094,Mumbai,Rauch,29.00°C
2021-03-03 14:31:56.713179,Salzburg,Klarer Himmel,12.53°C
2021-03-03 14:32:56.794840,Mumbai,Rauch,29.00°C
2021-03-03 14:33:56.878569,Salzburg,Klarer Himmel,12.53°C
2021-03-03 14:34:56.966635,Mumbai,Rauch,29.00°C
2021-03-03 14:35:57.048367,Salzburg,Klarer Himmel,12.53°C
2021-03-03 14:36:57.139467,Mumbai,Rauch,29.00°C
2021-03-03 14:37:57.306968,Salzburg,Klarer Himmel,12.54°C
2021-03-03 14:38:57.389879,Mumbai,Rauch,29.00°C
2021-03-03 14:39:57.470744,Salzburg,Klarer Himmel,12.54°C
2021-03-03 14:40:57.552796,Mumbai,Rauch,29.00°C
2021-03-03 14:41:57.643138,Salzburg,Klarer Himmel,12.54°C
2021-03-03 14:42:57.731249,Mumbai,Rauch,29.00°C
2021-03-03 14:43:57.822271,Salzburg,Klarer Himmel,12.54°C
2021-03-03 14:44:57.896292,Mumbai,Rauch,29.00°C
2021-03-03 14:45:57.980865,Salzburg,Klarer Himmel,12.54°C
2021-03-03 14:46:58.057905,Mumbai,Rauch,29.00°C
2021-03-03 14:47:58.133883,Salzburg,Klarer Himmel,12.54°C
2021-03-03 14:48:58.218733,Mumbai,Rauch,29.00°C
2021-03-03 14:49:58.307259,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:50:58.400875,Mumbai,Rauch,29.00°C
2021-03-03 14:51:58.489658,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:52:58.574638,Mumbai,Rauch,29.00°C
2021-03-03 14:53:58.661138,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:54:58.748200,Mumbai,Rauch,29.00°C
2021-03-03 14:55:58.838682,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:56:58.916212,Mumbai,Rauch,29.00°C
2021-03-03 14:57:58.994771,Salzburg,Klarer Himmel,12.38°C
2021-03-03 14:58:59.111885,Mumbai,Rauch,29.00°C
2021-03-03 14:59:59.225369,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:00:59.317374,Mumbai,Rauch,29.00°C
2021-03-03 15:01:59.403738,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:02:59.495227,Mumbai,Rauch,29.00°C
2021-03-03 15:03:59.577562,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:04:59.662222,Mumbai,Rauch,29.00°C
2021-03-03 15:05:59.750225,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:06:59.829014,Mumbai,Rauch,29.00°C
2021-03-03 15:07:59.909347,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:08:59.995036,Mumbai,Rauch,29.00°C
2021-03-03 15:10:00.088580,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:11:00.173584,Mumbai,Rauch,29.00°C
2021-03-03 15:12:00.260595,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:13:00.418837,Mumbai,Rauch,29.00°C
2021-03-03 15:14:01.549314,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:15:01.639104,Mumbai,Rauch,29.00°C
2021-03-03 15:16:01.742267,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:17:01.822516,Mumbai,Rauch,29.00°C
2021-03-03 15:18:01.903807,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:19:01.979037,Mumbai,Rauch,29.00°C
2021-03-03 15:20:02.065714,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:21:02.184314,Mumbai,Rauch,29.00°C
2021-03-03 15:22:02.295972,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:23:02.414148,Mumbai,Rauch,29.00°C
2021-03-03 15:24:02.491838,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:25:02.581618,Mumbai,Rauch,29.00°C
2021-03-03 15:26:02.664704,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:27:02.788650,Mumbai,Rauch,29.00°C
2021-03-03 15:28:02.903968,Salzburg,Klarer Himmel,12.54°C
2021-03-03 15:29:03.029528,Mumbai,Rauch,29.00°C
2021-03-03 15:30:03.615037,Salzburg,Klarer Himmel,12.54°C
2021-03-03 15:31:03.706773,Mumbai,Rauch,29.00°C
2021-03-03 15:32:03.794471,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:33:03.947626,Mumbai,Rauch,29.00°C
2021-03-03 15:34:04.023796,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:35:04.184011,Mumbai,Rauch,29.00°C
2021-03-03 15:36:04.266194,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:37:04.356647,Mumbai,Rauch,29.00°C
2021-03-03 15:38:04.433327,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:39:04.564801,Mumbai,Rauch,29.00°C
2021-03-03 15:40:04.663121,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:41:04.745679,Mumbai,Rauch,29.00°C
2021-03-03 15:42:04.844448,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:43:04.926645,Mumbai,Rauch,29.00°C
2021-03-03 15:44:05.018779,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:45:05.093606,Mumbai,Rauch,29.00°C
2021-03-03 15:46:05.189920,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:47:05.269870,Mumbai,Rauch,29.00°C
2021-03-03 15:48:05.361228,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:49:05.454892,Mumbai,Rauch,29.00°C
2021-03-03 15:50:05.707460,Salzburg,Klarer Himmel,12.53°C
2021-03-03 15:51:05.783098,Mumbai,Rauch,29.00°C
2021-03-03 15:52:05.906632,Salzburg,Klarer Himmel,12.37°C
2021-03-03 15:53:06.000057,Mumbai,Rauch,29.00°C
2021-03-03 15:54:06.088809,Salzburg,Klarer Himmel,12.37°C
2021-03-03 15:55:06.228730,Mumbai,Rauch,29.00°C
2021-03-03 15:56:06.327074,Salzburg,Klarer Himmel,12.37°C
2021-03-03 15:57:06.423399,Mumbai,Rauch,29.00°C
2021-03-03 15:58:06.500049,Salzburg,Klarer Himmel,12.37°C
2021-03-03 15:59:06.587364,Mumbai,Rauch,29.00°C
2021-03-03 16:00:07.827464,Salzburg,Klarer Himmel,12.37°C
2021-03-03 16:01:07.912900,Mumbai,Rauch,29.00°C
2021-03-03 16:02:08.029214,Salzburg,Klarer Himmel,12.21°C
2021-03-04 07:00:40.069054,Mumbai,Rauch,34.52°C
2021-03-04 07:01:40.219612,Salzburg,Klarer Himmel,4.50°C
2021-03-04 07:02:40.298114,Mumbai,Rauch,34.52°C
2021-03-04 07:03:40.399797,Salzburg,Klarer Himmel,4.50°C
2021-03-04 07:04:40.486158,Mumbai,Rauch,34.52°C
2021-03-04 07:05:40.575454,Salzburg,Klarer Himmel,4.50°C
2021-03-04 07:06:40.657178,Mumbai,Rauch,34.52°C
2021-03-04 07:07:40.735047,Salzburg,Klarer Himmel,4.50°C
2021-03-04 07:08:40.812285,Mumbai,Rauch,34.52°C
2021-03-04 07:09:40.880627,Salzburg,Klarer Himmel,4.50°C
2021-03-04 07:10:40.990760,Mumbai,Rauch,33.48°C
2021-03-04 07:11:41.116461,Salzburg,Klarer Himmel,4.81°C
2021-03-04 07:12:41.200011,Mumbai,Rauch,33.48°C
2021-03-04 07:13:41.354674,Salzburg,Klarer Himmel,4.81°C
2021-03-04 07:14:41.438102,Mumbai,Rauch,33.48°C
2021-03-04 07:15:41.517930,Salzburg,Klarer Himmel,4.81°C
2021-03-04 07:16:41.608493,Mumbai,Rauch,33.48°C
2021-03-04 07:17:41.702045,Salzburg,Klarer Himmel,4.81°C
2021-03-04 07:18:41.774486,Mumbai,Rauch,33.48°C
2021-03-04 07:19:41.872946,Salzburg,Klarer Himmel,4.81°C
2021-03-04 07:20:41.962659,Mumbai,Rauch,33.53°C
2021-03-04 07:21:42.040744,Salzburg,Klarer Himmel,4.56°C
2021-03-04 07:22:42.123007,Mumbai,Rauch,33.53°C
2021-03-04 07:23:42.207523,Salzburg,Klarer Himmel,4.56°C
2021-03-04 07:24:42.286777,Mumbai,Rauch,33.53°C
2021-03-04 07:25:42.366023,Salzburg,Klarer Himmel,4.56°C
2021-03-04 07:26:42.436738,Mumbai,Rauch,33.53°C
2021-03-04 07:27:42.521007,Salzburg,Klarer Himmel,4.56°C
2021-03-04 07:28:42.591793,Mumbai,Rauch,33.53°C
2021-03-04 07:29:42.678663,Salzburg,Klarer Himmel,4.56°C
2021-03-04 07:30:42.779602,Mumbai,Rauch,33.53°C
2021-03-04 07:31:42.879091,Salzburg,Klarer Himmel,4.68°C
2021-03-04 07:32:42.953602,Mumbai,Rauch,33.53°C
2021-03-04 07:33:43.031466,Salzburg,Klarer Himmel,4.68°C
2021-03-04 07:34:43.109270,Mumbai,Rauch,33.53°C
2021-03-04 07:35:43.187923,Salzburg,Klarer Himmel,4.68°C
2021-03-04 07:36:43.273426,Mumbai,Rauch,33.53°C
2021-03-04 07:37:43.355151,Salzburg,Klarer Himmel,4.68°C
2021-03-04 07:38:43.425056,Mumbai,Rauch,33.53°C
2021-03-04 07:39:43.508603,Salzburg,Klarer Himmel,4.68°C
2021-03-04 07:40:43.592741,Mumbai,Rauch,33.53°C
2021-03-04 07:41:43.719704,Salzburg,Ein paar Wolken,4.71°C
2021-03-04 07:42:43.798435,Mumbai,Rauch,33.47°C
2021-03-04 07:43:43.879037,Salzburg,Ein paar Wolken,4.71°C
2021-03-04 07:44:43.967451,Mumbai,Rauch,33.47°C
2021-03-04 07:45:44.051236,Salzburg,Ein paar Wolken,4.71°C
2021-03-04 07:46:44.128331,Mumbai,Rauch,33.47°C
2021-03-04 07:47:44.214070,Salzburg,Ein paar Wolken,4.71°C
2021-03-04 07:48:44.295507,Mumbai,Rauch,33.47°C
2021-03-04 07:49:44.380735,Salzburg,Ein paar Wolken,4.71°C
2021-03-04 07:50:44.449361,Mumbai,Rauch,33.47°C
2021-03-04 07:51:44.524798,Salzburg,Ein paar Wolken,4.71°C
2021-03-04 07:52:44.601908,Mumbai,Rauch,33.47°C
2021-03-04 07:53:44.689165,Salzburg,Ein paar Wolken,4.70°C
2021-03-04 07:54:44.781392,Mumbai,Rauch,33.53°C
2021-03-04 07:55:44.856299,Salzburg,Ein paar Wolken,4.70°C
2021-03-04 07:56:44.938554,Mumbai,Rauch,33.53°C
2021-03-04 07:57:45.017378,Salzburg,Ein paar Wolken,4.70°C
